accession	clade
NODE_0000774	C4
NODE_0000775	C4
NODE_0000776	C4
NODE_0000777	C4
NODE_0000778	C4
NODE_0000779	C4
NODE_0000780	C4
NODE_0000781	C4
NODE_0000782	C4
NODE_0000783	C4
NODE_0000784	C4
NODE_0000785	C4
NODE_0000786	C4
NODE_0000787	C4
NODE_0000788	C4
NODE_0000789	C4
NODE_0000790	C4
NODE_0000791	C4
NODE_0000792	C4
NODE_0000793	C4
NODE_0000794	C4
NODE_0000795	C4
NODE_0000796	C4
NODE_0000797	C4
NODE_0000798	C4
NODE_0000799	C4
NODE_0000800	C4
NODE_0000801	C4
NODE_0000802	C4
NODE_0000803	C4
NODE_0000804	C4
NODE_0000805	C4
NODE_0000806	C4
NODE_0000807	C4
NODE_0000808	C4
NODE_0000809	C4
NODE_0000810	C4
NODE_0000811	C4
NODE_0000812	C4
NODE_0000813	C4
NODE_0000814	C4
NODE_0000815	C4
NODE_0000816	C4
NODE_0000817	C4
NODE_0000818	C4
NODE_0000819	C4
NODE_0000820	C4
NODE_0000821	C4
NODE_0000822	C4
NODE_0000823	C4
NODE_0000824	C4
NODE_0000825	C4
NODE_0000826	C4
NODE_0000827	C4
NODE_0000828	C4
NODE_0000829	C4
NODE_0000830	C4
NODE_0000831	C4
NODE_0000832	C4
NODE_0000833	C4
NODE_0000834	C4
NODE_0000835	C4
NODE_0000836	C4
NODE_0000837	C4
NODE_0000838	C4
NODE_0000839	C4
NODE_0000840	C4
NODE_0000841	C4
NODE_0000842	C4
NODE_0000843	C4
NODE_0000844	C4
NODE_0000845	C4
NODE_0000846	C4
NODE_0000847	C4
NODE_0000848	C4
NODE_0000849	C4
NODE_0000850	C4
NODE_0000851	C4
NODE_0000852	C4
NODE_0000853	C4
NODE_0000854	C4
NODE_0000855	C4
NODE_0000856	C4
NODE_0000857	C4
NODE_0000858	C4
NODE_0000859	C4
NODE_0000860	C4
NODE_0000861	C4
NODE_0000862	C4
NODE_0000863	C4
NODE_0000864	C4
NODE_0000865	C4
NODE_0000866	C4
NODE_0000867	C4
NODE_0000868	C4
NODE_0000869	C4
NODE_0000870	C4
NODE_0000871	C4
NODE_0000872	C4
NODE_0000873	C4
NODE_0000874	C4
NODE_0000875	C4
NODE_0000876	C4
NODE_0000877	C4
NODE_0000878	C4
NODE_0000879	C4
NODE_0000880	C4
NODE_0000881	C4
NODE_0000882	C4
NODE_0000883	C4
NODE_0000884	C4
NODE_0000885	C4
NODE_0000886	C4
NODE_0000887	C4
NODE_0000888	C4
NODE_0000889	C4
NODE_0000890	C4
NODE_0000891	C4
NODE_0000892	C4
NODE_0000893	C4
NODE_0000894	C4
NODE_0000895	C4
NODE_0000896	C4
NODE_0000897	C4
NODE_0000898	C4
NODE_0000899	C4
NODE_0000900	C4
NODE_0000901	C4
NODE_0000902	C4
NODE_0000903	C4
NODE_0000904	C4
NODE_0000905	C4
NODE_0000906	C4
NODE_0000907	C4
NODE_0000908	C4
NODE_0000909	C4
NODE_0000910	C4
NODE_0000911	C4
NODE_0000912	C4
NODE_0000913	C4
NODE_0000914	C4
NODE_0000915	C4
NODE_0000916	C4
NODE_0000917	C4
NODE_0000918	C4
NODE_0000919	C4
NODE_0000920	C4
NODE_0000921	C4
NODE_0000922	C4
NODE_0000923	C4
NODE_0000924	C4
NODE_0000925	C4
NODE_0000926	C4
NODE_0000927	C4
NODE_0000928	C4
NODE_0000929	C4
OK570251	F
OM417111	B5
OM417112	B5
OM417113	B5
OM417114	B5
OM417115	B5
OM948982	C4
ON191507	C2.3
ON191508	C2.3
ON191509	C1
ON191510	C2.3
ON191511	C2.3
ON191512	C2.3
ON502178	C4
ON502185	C4
ON502187	C4
ON502189	C4
ON502191	C4
ON502203	C4
ON502204	C4
ON502205	C4
ON502213	C4
ON502220	C4
ON502221	C4
ON502222	C4
ON502225	C4
ON502228	C4
ON502229	C4
ON502236	C4
ON502239	C4
ON502240	C4
ON502245	C4
ON502247	C4
ON502255	C4
ON502256	C4
ON502269	C4
ON502277	C4
ON502283	C4
ON502288	C4
ON502295	C4
ON502297	C4
ON502303	C4
ON502307	C4
ON502314	C4
ON502316	C4
ON502318	C4
ON502320	C4
ON502322	C4
ON502324	C4
ON502329	C4
ON502330	C4
ON502331	C4
ON502336	C4
ON502337	C4
ON502340	C4
ON502343	C4
ON502347	C4
ON502348	C4
ON502354	C4
ON502361	C4
ON502364	C4
ON502365	C4
ON502370	C4
ON502371	C4
ON502372	C4
OP191657	C4
OQ026324	C1.3
OQ026325	C1.3
OQ026326	C1.3
OQ026327	C1.3
OQ026328	C1.3
OQ026329	C1.3
OQ026330	C1.3
OQ026331	C1.3
OQ026332	C1.3
OQ026333	C1.3
OQ026334	C1.3
OQ026335	C1.3
OQ026336	C1.3
OQ026337	C1.3
OQ091573	C1.3
OQ091574	C1.3
OQ091576	C1.3
OQ091577	C1.3
OQ091580	C1.3
OQ091581	C1.3
OQ091584	C1.3
OQ091585	C1.3
OQ091587	C1.3
OQ091589	C1.3
OQ091593	C1.3
OQ091594	C1.3
OQ091596	C1.3
OQ091597	C1.3
OQ091599	C1.3
OQ091600	C1.3
OQ091603	C1.3
OQ091604	C1.3
OQ091605	C1.3
OQ091606	C1.3
OQ091607	C1.3
OQ091610	C1.3
OQ091612	C1.3
OQ091613	C1.3
OQ091615	C1.3
OQ091616	C1.2
OQ091617	C2
OQ091618	C2
OQ091619	C2
OQ091620	C2
OQ091621	C2
OQ091622	C2
OQ091623	C2
OQ091624	C2
OQ091625	C2
OQ091626	C2
OQ091627	C2
OQ091628	C2
OQ091629	C2
OQ091631	C2
OQ091632	C2
OQ091634	C2
OQ091635	C2
OQ091637	C2
OQ091638	C2
OQ091639	C2
OQ091640	C2
OQ091641	C2
OQ091642	C2
OQ091644	C2
OQ091645	C2
OQ091646	C2
OQ091647	C2
OQ091648	C2
OQ117372	C4
OQ355732	C4
OQ355734	C4
OQ355735	C4
OQ355736	C4
OQ355737	C4
OQ355738	C4
OQ355747	C4
OQ355753	C4
OQ355754	C4
OQ355761	C4
OQ355763	C4
OQ355764	C4
OQ355765	C4
OQ355766	C4
OQ355767	C4
OQ355768	C4
OQ355769	C4
OQ355770	C4
OQ355771	C4
OQ355772	C4
OQ355773	C4
OQ355775	C4
OQ355782	C4
OQ355783	C4
OQ355785	C4
OQ355790	C4
OQ355791	C4
OQ355792	C4
OQ355794	C4
OQ355795	C4
OQ355796	C4
OQ355798	C4
OQ355799	C4
OQ355802	C4
OQ355804	C4
OQ355806	C4
OQ355807	C4
OQ571387	C1.3
OQ791533	C2
OQ791538	C2
OQ791541	C2
OQ842403	C2
OQ842404	C2
OQ842405	C2
OQ842406	C2
OQ842407	C2
OQ842408	C2
OQ842409	C2
OQ842410	C2
OR766759	B5
OR766760	B5
OR766761	B5
OR766762	B5
OR766763	B5
OR766764	B5
OR766765	B5
OR766766	B5
OR766767	B5
OR766768	B5
OR766769	B5
OR766770	B5
OR766771	B5
OR766772	B5
OR766773	B5
OR766774	B5
OR766776	C1.3
OR791508	B5
OR791509	B5
OR791510	B5
OR822244	B5
PP236447	C4
PP417828	C1.3
PP417829	C1.3
PP417830	C1.3
PP548249	C1.3
PP548250	C1.3
PP548251	C1.3
PP548252	C1.3
PP548256	C1.3
PP548257	C1.3
PP548261	C1.3
PP548262	C1.3
PP548263	C1.3
PP548264	C1.3
PP548267	C1.3
PP548268	C1.3
PP548269	C1.3
PP548270	C1.3
PP548271	C1.3
PP548272	C1.3
PP548274	C1.3
PP548275	C1.3
PP548278	C1.3
PP548279	C2
PP548280	C1.3
PP585425	C1.3
PP585426	C1.3
PP585427	C1.3
PP585428	C1.3
PP585429	C1.3
PP585430	C1.3
PP585431	C1.3
PP585432	C1.3
PP585433	C1.3
PP585434	C1.3
PP585435	C1.3
PP585436	C1.3
PP858876	C1.3
PQ015375	C4
PQ015376	C4
PQ284300	C1.2
PQ284429	C1.3
PQ284430	C2
PQ284431	C1.3
PQ284433	C1.3
PQ284434	C1.3
PQ284435	C1.3
PQ284436	C1.3
PQ284437	C1.3
PQ284438	C1.3
PQ284439	C1.3
PQ284440	C1.3
PQ284441	C1.3
PQ284442	C1.3
PQ284443	C1.3
PQ284444	C1.3
PQ284446	C1.3
PQ284447	C1.3
PQ284449	C1.3
PQ284450	C1.3
PQ284453	C1.3
PQ284454	C1.3
PQ284455	C1.3
PQ284456	C1.3
PQ284457	C1.3
PQ284458	C1.3
PQ284475	C1
PQ284476	C1.3
PQ284483	C1.3
PQ284484	C1.3
PQ284485	C1.3
PQ284486	C2
PQ284487	C2
PQ284489	C1.3
PQ284490	C1.3
PQ284496	C1.3
PQ284497	C1.3
PQ284498	C1.3
PQ284499	C1.3
PQ284500	C1.3
PQ284501	C1.3
PQ284502	C1.2
PQ284503	C1.2
PQ284504	C1
PQ373830	C4
PQ612464	C1.3
PQ868591	B5
PQ868594	B5
PQ868599	B5
PV173119	B5
PV173120	B5
PV173121	B5
PV176308	B5
PV684174	C4
PV684175	C4
PV684176	C4
PV684177	C4
PV684178	C4
PV684180	B5
PV684181	B5
PV684182	B5
PV684183	B5
PV684184	B5
PV684185	B5
PV684186	B5
PV684187	B5
PV684188	B5
PV684189	B5
PV872005	B5
PX260179	B
PX260180	B
PZ033465	C1
PZ117056	C1.3
ancestral_sequence	unassigned
